['123/200', '0.504890', '0.495419', '0.493971', '0.387393', '0.612854', '0.611109', '0:01:11']
['124/200', '0.512140', '0.488207', '0.487889', '0.398791', '0.601484', '0.599899', '0:01:11']
['125/200', '0.493072', '0.507259', '0.506763', '0.401573', '0.598703', '0.597850', '0:01:13']
['126/200', '0.509474', '0.490851', '0.490362', '0.394946', '0.605264', '0.602871', '0:01:12']
['127/200', '0.511616', '0.489063', '0.488364', '0.398836', '0.601655', '0.598189', '0:01:12']
['128/200', '0.512973', '0.487360', '0.486693', '0.407984', '0.592307', '0.592003', '0:01:12']
['129/200', '0.505096', '0.495273', '0.493895', '0.436810', '0.563581', '0.561820', '0:01:12']
['130/200', '0.503248', '0.497290', '0.496033', '0.413352', '0.586943', '0.587323', '0:01:11']
['131/200', '0.509682', '0.490661', '0.489446', '0.393438', '0.606923', '0.605498', '0:01:12']
['132/200', '0.497119', '0.503197', '0.502773', '0.391997', '0.608263', '0.608545', '0:01:11']
['133/200', '0.504077', '0.496257', '0.494903', '0.423237', '0.577515', '0.571740', '0:01:12']
['134/200', '0.490226', '0.510135', '0.508850', '0.412909', '0.587434', '0.587384', '0:01:12']
['135/200', '0.497712', '0.502640', '0.501548', '0.416024', '0.584384', '0.583574', '0:01:12']
['136/200', '0.498484', '0.501878', '0.500842', '0.411716', '0.588674', '0.588286', '0:01:12']
['137/200', '0.493844', '0.506529', '0.505490', '0.393647', '0.606654', '0.606030', '0:01:12']
['138/200', '0.490795', '0.509746', '0.508802', '0.405429', '0.595046', '0.593826', '0:01:12']
['139/200', '0.502435', '0.497961', '0.497107', '0.428169', '0.572177', '0.572283', '0:01:12']
['140/200', '0.484178', '0.516179', '0.514927', '0.388257', '0.612042', '0.611784', '0:01:12']
['141/200', '0.482157', '0.518185', '0.517390', '0.385602', '0.614680', '0.614697', '0:01:11']
['142/200', '0.488739', '0.511654', '0.510773', '0.394094', '0.606264', '0.606411', '0:01:12']
['143/200', '0.490653', '0.509762', '0.508751', '0.378948', '0.621355', '0.619805', '0:01:12']
['144/200', '0.480377', '0.520035', '0.518585', '0.389680', '0.610670', '0.611209', '0:01:12']
['145/200', '0.495151', '0.505250', '0.504410', '0.374523', '0.625765', '0.626513', '0:01:12']
['146/200', '0.483054', '0.517358', '0.516530', '0.387484', '0.612907', '0.610721', '0:01:12']
['147/200', '0.485828', '0.514638', '0.513363', '0.397521', '0.602812', '0.601458', '0:01:13']
['148/200', '0.486148', '0.514440', '0.513669', '0.371532', '0.628779', '0.627721', '0:01:13']
['149/200', '0.474473', '0.525934', '0.524556', '0.390599', '0.609774', '0.609450', '0:01:12']
['150/200', '0.480819', '0.519584', '0.518744', '0.374191', '0.626201', '0.624647', '0:01:12']
['151/200', '0.477747', '0.522706', '0.521885', '0.402721', '0.597702', '0.596891', '0:01:12']
['152/200', '0.480257', '0.520288', '0.519203', '0.380988', '0.619332', '0.617336', '0:01:11']
['153/200', '0.471302', '0.529135', '0.527774', '0.371533', '0.628834', '0.627394', '0:01:12']
['154/200', '0.473943', '0.526497', '0.524907', '0.385946', '0.614415', '0.614011', '0:01:11']
['155/200', '0.470841', '0.529621', '0.528263', '0.382839', '0.617502', '0.617295', '0:01:12']
['156/200', '0.470798', '0.529621', '0.528689', '0.379894', '0.620419', '0.619582', '0:01:12']
['157/200', '0.465658', '0.534781', '0.533569', '0.377198', '0.623208', '0.621356', '0:01:12']
['158/200', '0.476820', '0.523642', '0.522980', '0.386546', '0.613730', '0.612157', '0:01:11']
['159/200', '0.479629', '0.520853', '0.519929', '0.392233', '0.608256', '0.607393', '0:01:12']
['160/200', '0.480766', '0.519723', '0.518413', '0.384112', '0.616287', '0.613822', '0:01:12']
['161/200', '0.462734', '0.537745', '0.536274', '0.379303', '0.621116', '0.619145', '0:01:12']
['162/200', '0.469266', '0.531184', '0.530365', '0.369697', '0.630745', '0.629445', '0:01:12']
['163/200', '0.486099', '0.514397', '0.513650', '0.376274', '0.624208', '0.621954', '0:01:11']
['164/200', '0.479753', '0.520744', '0.518782', '0.366978', '0.633442', '0.631012', '0:01:12']
['165/200', '0.466915', '0.533558', '0.532195', '0.367032', '0.633354', '0.631554', '0:01:12']
['166/200', '0.469212', '0.531300', '0.530227', '0.374043', '0.626375', '0.625432', '0:01:11']
['167/200', '0.476193', '0.524280', '0.523511', '0.373832', '0.626589', '0.624829', '0:01:12']
['168/200', '0.451527', '0.548956', '0.547535', '0.373087', '0.627323', '0.626167', '0:01:11']
['169/200', '0.468652', '0.531826', '0.530823', '0.360522', '0.639844', '0.637407', '0:01:12']
['170/200', '0.467019', '0.533483', '0.532436', '0.359568', '0.640868', '0.639159', '0:01:12']
['171/200', '0.459627', '0.540858', '0.539838', '0.366833', '0.633628', '0.632088', '0:01:11']
['172/200', '0.459202', '0.541300', '0.540370', '0.357410', '0.642971', '0.641160', '0:01:12']
['173/200', '0.463944', '0.536527', '0.535827', '0.368028', '0.632403', '0.630803', '0:01:12']
['174/200', '0.460739', '0.539781', '0.538989', '0.370591', '0.629905', '0.629126', '0:01:12']
['175/200', '0.471445', '0.529065', '0.527586', '0.367457', '0.633024', '0.630913', '0:01:11']
['176/200', '0.474167', '0.526398', '0.525177', '0.358936', '0.641551', '0.639501', '0:01:12']
['177/200', '0.459586', '0.540926', '0.539273', '0.363237', '0.637182', '0.635869', '0:01:11']
['178/200', '0.465767', '0.534773', '0.533276', '0.359745', '0.640678', '0.640138', '0:01:12']
['179/200', '0.463903', '0.536626', '0.535060', '0.363358', '0.637095', '0.635512', '0:01:12']
['180/200', '0.464126', '0.536409', '0.534528', '0.357471', '0.642941', '0.641276', '0:01:12']
['181/200', '0.463032', '0.537527', '0.536784', '0.363666', '0.636797', '0.635841', '0:01:11']
