['91/200', '0.585217', '0.415774', '0.414258', '0.440174', '0.560959', '0.558120', '0:00:57']
['92/200', '0.559417', '0.441428', '0.437481', '0.460985', '0.539481', '0.535493', '0:00:57']
['93/200', '0.556773', '0.443917', '0.440198', '0.521277', '0.479810', '0.483882', '0:00:57']
['94/200', '0.558523', '0.442306', '0.438232', '0.494190', '0.507089', '0.503783', '0:00:57']
['95/200', '0.556737', '0.444107', '0.438317', '0.434966', '0.565622', '0.559651', '0:00:57']
['96/200', '0.560968', '0.439833', '0.436719', '0.478874', '0.521826', '0.514050', '0:00:57']
['97/200', '0.554334', '0.446630', '0.441452', '0.420450', '0.580353', '0.569414', '0:00:58']
['98/200', '0.562723', '0.438243', '0.433764', '0.439719', '0.560895', '0.554290', '0:00:58']
['99/200', '0.554248', '0.446776', '0.442312', '0.497701', '0.504240', '0.486016', '0:00:57']
['100/200', '0.554964', '0.445962', '0.440817', '0.482777', '0.518275', '0.520091', '0:00:58']
['101/200', '0.552373', '0.448717', '0.442494', '0.448082', '0.553228', '0.546681', '0:00:57']
['102/200', '0.548715', '0.452874', '0.447618', '0.496886', '0.504041', '0.498614', '0:00:58']
['103/200', '0.542602', '0.458342', '0.454202', '0.450755', '0.550322', '0.549057', '0:00:58']
['104/200', '0.545528', '0.455878', '0.451100', '0.398080', '0.602578', '0.597447', '0:00:57']
['105/200', '0.544011', '0.457048', '0.450893', '0.465674', '0.535542', '0.530423', '0:00:57']
['106/200', '0.539662', '0.461384', '0.456624', '0.437519', '0.563536', '0.560992', '0:00:57']
['107/200', '0.541262', '0.459773', '0.455119', '0.459392', '0.542141', '0.523877', '0:00:57']
['108/200', '0.555469', '0.445770', '0.441081', '0.433204', '0.567767', '0.558338', '0:00:57']
['109/200', '0.528057', '0.473040', '0.469564', '0.406296', '0.594569', '0.587141', '0:00:58']
['110/200', '0.528273', '0.472812', '0.467167', '0.457829', '0.543818', '0.546897', '0:00:57']
['111/200', '0.540871', '0.460233', '0.455151', '0.418037', '0.582834', '0.572720', '0:00:57']
['112/200', '0.532032', '0.469036', '0.463398', '0.472980', '0.528308', '0.525750', '0:00:57']
['113/200', '0.545012', '0.456107', '0.451348', '0.496498', '0.504601', '0.504502', '0:00:57']
['114/200', '0.533150', '0.467960', '0.463390', '0.467781', '0.533571', '0.527399', '0:00:57']
['115/200', '0.526774', '0.474359', '0.469560', '0.460676', '0.541285', '0.542727', '0:00:57']
['116/200', '0.533487', '0.467678', '0.462479', '0.442817', '0.559508', '0.564925', '0:00:58']
['117/200', '0.532592', '0.468630', '0.463505', '0.441384', '0.559617', '0.558237', '0:00:57']
['118/200', '0.527404', '0.473792', '0.468806', '0.414340', '0.586980', '0.582993', '0:00:57']
['119/200', '0.519164', '0.482026', '0.476680', '0.435068', '0.566191', '0.558641', '0:00:58']
['120/200', '0.515743', '0.485516', '0.479038', '0.429336', '0.572092', '0.562341', '0:00:58']
['121/200', '0.525272', '0.476003', '0.469990', '0.438098', '0.563122', '0.556289', '0:00:58']
['122/200', '0.517024', '0.484129', '0.478861', '0.378941', '0.621976', '0.615141', '0:00:58']
['123/200', '0.524650', '0.476619', '0.471120', '0.378974', '0.622199', '0.611740', '0:00:57']
['124/200', '0.519865', '0.481306', '0.475834', '0.397140', '0.603933', '0.600840', '0:00:57']
['125/200', '0.509882', '0.491334', '0.485565', '0.437189', '0.564174', '0.554935', '0:00:57']
['126/200', '0.532001', '0.469370', '0.462462', '0.390499', '0.610444', '0.598361', '0:00:57']
['127/200', '0.522296', '0.479097', '0.472563', '0.436832', '0.564852', '0.561051', '0:00:57']
['128/200', '0.520804', '0.480551', '0.473992', '0.428834', '0.572177', '0.563751', '0:00:57']
['129/200', '0.515693', '0.485795', '0.478773', '0.414463', '0.586540', '0.580861', '0:00:57']
['130/200', '0.509954', '0.491479', '0.484855', '0.378772', '0.622443', '0.612459', '0:00:57']
['131/200', '0.516006', '0.485311', '0.479814', '0.422557', '0.578902', '0.565575', '0:00:57']
['132/200', '0.508888', '0.492489', '0.486590', '0.381020', '0.620080', '0.610700', '0:00:57']
['133/200', '0.505874', '0.495607', '0.488639', '0.373587', '0.627882', '0.611579', '0:00:57']
['134/200', '0.501953', '0.499278', '0.493385', '0.404267', '0.596994', '0.594732', '0:00:57']
['135/200', '0.510880', '0.490564', '0.485416', '0.413366', '0.588293', '0.586599', '0:00:58']
['136/200', '0.515041', '0.486450', '0.479689', '0.372752', '0.628243', '0.618095', '0:00:57']
['137/200', '0.517415', '0.484096', '0.478267', '0.415852', '0.585280', '0.571831', '0:00:57']
['138/200', '0.504870', '0.496508', '0.490106', '0.411824', '0.589187', '0.581998', '0:00:57']
['139/200', '0.509483', '0.491973', '0.483791', '0.382485', '0.618601', '0.611148', '0:00:57']
['140/200', '0.500307', '0.501145', '0.494560', '0.443496', '0.558088', '0.551289', '0:00:57']
['141/200', '0.506098', '0.495424', '0.488388', '0.412191', '0.589048', '0.584170', '0:00:57']
['142/200', '0.501585', '0.499869', '0.494145', '0.401069', '0.600090', '0.591832', '0:00:57']
['143/200', '0.507882', '0.493458', '0.488427', '0.403919', '0.597377', '0.596388', '0:00:57']
['144/200', '0.498521', '0.503019', '0.496288', '0.382955', '0.618582', '0.614419', '0:00:57']
['145/200', '0.517981', '0.483673', '0.477590', '0.389290', '0.611968', '0.600351', '0:00:57']
['146/200', '0.494197', '0.507100', '0.501170', '0.380823', '0.620400', '0.610428', '0:00:57']
['147/200', '0.494097', '0.507271', '0.501526', '0.392295', '0.608950', '0.599457', '0:00:57']
['148/200', '0.499765', '0.501710', '0.496265', '0.374371', '0.627141', '0.615129', '0:00:57']
['149/200', '0.502309', '0.499221', '0.493036', '0.368955', '0.632289', '0.625901', '0:00:57']
['150/200', '0.489958', '0.511551', '0.504704', '0.363885', '0.636947', '0.629326', '0:00:57']
['151/200', '0.498935', '0.502465', '0.497306', '0.370864', '0.630213', '0.622171', '0:00:57']
['152/200', '0.504254', '0.497315', '0.492305', '0.395631', '0.605526', '0.599643', '0:00:57']
['153/200', '0.497734', '0.503703', '0.498981', '0.389264', '0.611851', '0.606185', '0:00:57']
['154/200', '0.484735', '0.516799', '0.510218', '0.372249', '0.629111', '0.620775', '0:00:57']
['155/200', '0.494181', '0.507463', '0.501220', '0.366712', '0.634579', '0.622945', '0:00:57']
['156/200', '0.488477', '0.512941', '0.507403', '0.367974', '0.633179', '0.623391', '0:00:57']
['157/200', '0.486480', '0.515130', '0.506988', '0.374369', '0.627066', '0.623856', '0:00:57']
['158/200', '0.491819', '0.509647', '0.504887', '0.373939', '0.627219', '0.619094', '0:00:58']
['159/200', '0.491496', '0.510034', '0.503715', '0.376196', '0.625088', '0.613678', '0:00:58']
['160/200', '0.480855', '0.520661', '0.513235', '0.379266', '0.622082', '0.615432', '0:00:57']
['161/200', '0.497181', '0.504315', '0.497445', '0.377636', '0.623705', '0.615759', '0:00:57']
['162/200', '0.496157', '0.505443', '0.498838', '0.377434', '0.623925', '0.615501', '0:00:57']
['163/200', '0.475301', '0.526304', '0.520363', '0.356602', '0.644635', '0.638132', '0:00:57']
['164/200', '0.501464', '0.500223', '0.492749', '0.381326', '0.620058', '0.610265', '0:00:57']
['165/200', '0.489119', '0.512414', '0.506102', '0.366213', '0.635096', '0.624887', '0:00:57']
['166/200', '0.483853', '0.517827', '0.511423', '0.366814', '0.634447', '0.625551', '0:00:57']
['167/200', '0.493801', '0.507673', '0.500390', '0.371135', '0.630185', '0.618087', '0:00:57']
['168/200', '0.489364', '0.512217', '0.505585', '0.361500', '0.639735', '0.628645', '0:00:57']
['169/200', '0.491345', '0.510197', '0.504261', '0.372612', '0.628718', '0.621063', '0:00:57']
['170/200', '0.474933', '0.526605', '0.519965', '0.363739', '0.637392', '0.630983', '0:00:57']
['171/200', '0.484026', '0.517662', '0.510491', '0.372141', '0.629108', '0.619497', '0:00:57']
['172/200', '0.477517', '0.524180', '0.515288', '0.360848', '0.640498', '0.630053', '0:00:57']
['173/200', '0.477904', '0.523718', '0.517093', '0.365622', '0.635840', '0.624968', '0:00:58']
['174/200', '0.488816', '0.512756', '0.506379', '0.365029', '0.636400', '0.627798', '0:00:57']
['175/200', '0.496495', '0.505191', '0.497176', '0.360754', '0.640495', '0.631246', '0:00:57']
['176/200', '0.479945', '0.521815', '0.515313', '0.373007', '0.628455', '0.618718', '0:00:59']
['177/200', '0.478994', '0.522638', '0.515879', '0.366851', '0.634567', '0.624994', '0:00:57']
